traveler_id	reservation_id	reservation_date	package_type	departure_date	departure_code	arrival_code	arrival_country	return_date	carrier_id	no_of_adults	no_of_kids
8131163	040129c61190dc262bf6acae0c93102be4366b0e630f07cbfc3406d42221234d	2017-10-03	STP	2018-07-03	GOT	LCA	Cyprus	2018-07-10	997	2	0
7976489	0a74bd0a346d8f2c7780be2fef9fb0a5ec8eb06879ebcef79d189f85f3f880c3	2018-07-06	STP	2018-07-19	ARN	CHQ	Greece	2018-07-26	997	2	0
7844225	6fc4c9b929e35ffc56f36437e65528538e4d5ef1559e0b240a363f7ce30a0265	2017-05-13	STP	2017-07-18	CPH	CHQ	Greece	2017-07-25	246	3	1
7583880	fa79458ce5bf40236242367beb011dc7a8ac56a9a21eec527743474575dc6cb8	2016-12-31	STP	2017-07-08	ARN	RHO	Greece	2017-07-15	246	2	0
8251831	c006ede7a1784fff386e7e8516a54c5ca9912ffebab9b4cf13e59b76257ec506	2017-12-18	STP	2018-07-15	GOT	SPU	Croatia	2018-07-22	246	1	2
7645196	cd13c9134e58d3ebd99cae08121d89b611cbc3de16367258080d1a9a7d8ab9e2	2017-02-08	STP	2017-07-07	OSL	AHO	Italy	2017-07-14	246	2	0
8514658	dd75715a8395ea0c711ca75cc2502083b9988617b3794f776f74265b496c81f3	2018-04-20	STP	2018-08-07	HEL	CFU	Greece	2018-08-14	246	2	2
8049948	1c4f5afc33155cf33058b137b101fb645e51e7c133d9a9871ec258e9f4df8901	2017-08-27	SOB	2017-08-28	OSL	PMI	Spain	2017-09-04	246	2	0
5863858	09fce80acd0c7b341713cff986f5e6402ca7769e9387a871104bde60a19f3cff	2018-03-21	STP	2018-09-27	CPH	PMI	Spain	2018-10-04	246	3	0
8750089	d958b016e4f879deaa53391a81f6ba7d9666f9d6a8f92402bcd375d64c5d493e	2018-08-24	STP	2018-09-06	HEL	SMI	Greece	2018-09-13	246	1	1
7936329	9919d0872437ff7ee2733de00d3a2b50d75639cfd347837383fd695427547a36	2018-10-12	STP	2018-10-19	ARN	ZTH	Greece	2018-10-26	246	1	1
7896924	b8700061f9bc393752a63a5f94ae39668d49dfccd3226baaad5c965525fac898	2017-06-13	STP	2017-06-22	ARN	AHO	Italy	2017-06-29	246	2	0
8132601	b72189989b056aca3eede9d63bd1ae24b794ee47f29e82e928374102c9216e9f	2017-10-04	STP	2017-10-12	ARN	PMI	Spain	2017-10-19	246	2	0
8628737	7b02548e793f56c42bdef2177db0d938b93521bcc7523bdbf6b3eecf38f354dc	2018-06-23	STP	2018-07-14	HEL	CHQ	Greece	2018-07-21	246	3	1
